suite,problem,maximize,objective,feasible,proven,elapsedMs,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__020.smt2.slack,false,,false,true,32,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__021.smt2.slack,false,,false,true,40,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__022.smt2.slack,false,,false,true,56,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__023.smt2.slack,false,,true,true,17,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__024.smt2.slack,false,,false,true,28,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__025.smt2.slack,false,,false,true,21,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__026.smt2.slack,false,,false,true,19,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__027.smt2.slack,false,,false,true,19,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__028.smt2.slack,false,,false,true,15,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__029.smt2.slack,false,,false,true,17,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__030.smt2.slack,false,,false,true,19,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__031.smt2.slack,false,,false,true,23,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__032.smt2.slack,false,,false,true,18,10000,smtlib,arithmetic,0,0,false
