suite,problem,maximize,objective,feasible,proven,elapsedMs,solver,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
hakank,clock_triplets/clock_triplets,false,,true,false,273,cp-sat,10000,minizinc,global,1,0,false
hakank,coins/coins,false,8.0,true,true,1,cp-sat,10000,minizinc,linear,0,2,false
hakank,coins/coins3,false,8.0,true,true,737,cp-sat,10000,minizinc,global,2,4,false
hakank,coins/coins3b,false,8.0,true,false,712,cp-sat,10000,minizinc,global,2,5,false
hakank,coins/coins_41_58,false,72.0,true,true,141,cp-sat,10000,minizinc,global,1,2,false
hakank,coins_grid/coins_grid,false,13668.0,true,true,2512,cp-sat,10000,minizinc,linear,0,3,false
hakank,coins_problem/coins_problem,false,8.0,true,true,4330,cp-sat,10000,minizinc,linear,0,2,false
hakank,col_sum_puzzle/col_sum_puzzle,false,,true,false,164,cp-sat,10000,minizinc,linear,0,4,false
hakank,collatz/collatz,false,,true,false,3376,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,color/color,false,,true,false,154,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,color_simple/color_simple,false,4.0,true,true,167,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,coloring_ip/coloring_ip,false,4.0,true,true,10,cp-sat,10000,minizinc,global,1,2,false
hakank,combination_locks/combination_locks,false,,true,false,216,cp-sat,10000,minizinc,linear,0,1,false
hakank,combinatorial_auction/combinatorial_auction,true,11.0,true,true,3,cp-sat,10000,minizinc,linear,0,2,false
hakank,common/common,false,,true,false,289,cp-sat,10000,minizinc,linear,0,3,false
hakank,common_interval/common_interval,false,,true,false,312,cp-sat,10000,minizinc,linear,0,3,false
hakank,common_modulo/common_modulo,false,,true,false,287,cp-sat,10000,minizinc,linear,0,2,false
hakank,common_partition/common_partition,false,,true,false,249,cp-sat,10000,minizinc,global,1,4,false
hakank,company_competition/company_competition,false,14.0,true,true,747,cp-sat,10000,minizinc,global,1,11,false
hakank,cond_lex_cost/cond_lex_cost,false,,true,false,152,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,cond_lex_less/cond_lex_less,false,,true,false,167,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,conference/conference,false,4.0,true,true,61,cp-sat,10000,minizinc,global,3,0,false
hakank,config/config,false,550.0,true,true,195,cp-sat,10000,minizinc,linear,0,4,false
hakank,congress/congress,false,,true,false,267,cp-sat,10000,minizinc,global,2,0,false
hakank,consecutive_digits/consecutive_digits,false,,true,false,402,cp-sat,10000,minizinc,global,2,1,false
hakank,consecutive_values/consecutive_values,false,,true,false,263,cp-sat,10000,minizinc,global,1,0,false
hakank,constraint/constraint,false,346.0,true,true,5,cp-sat,10000,minizinc,linear,0,3,false
hakank,contains_array/contains_array,false,,true,false,155,cp-sat,10000,minizinc,linear,0,1,false
hakank,contiguity_mip/contiguity_mip2,false,10.0,true,true,337,cp-sat,10000,minizinc,linear,0,3,false
hakank,contiguity_regular/contiguity_regular,false,,true,false,641,cp-sat,10000,minizinc,global,4,0,false
hakank,contiguity_regular_regexp/contiguity_regular_regexp,false,,true,false,535,cp-sat,10000,minizinc,global,5,0,false
